板型,中文功能名称,数量,长mm,宽mm,厚mm,铜层,功能,主要芯片及关键器件,当前安装状态,额外DRC警告
Main_Fuse_R8,电池主保险板,1,30.0,25.0,1.6,2,把首道可更换熔断保护放在电池正极出口，限制短路故障持续能量。它与 Entry 上的 2 A 逻辑支路保险是不同器件。,Keystone 3549-2 MINI 保险座；Littelfuse 0297015.WXNV，15 A / 32 V DC,已定位工程参照（未实装验收）,2
TDK_Power_R8,舵机主电源板,1,65.0,60.0,1.6,2,用外购 TDK 升降压模块生成舵机电源，加入输出隔离/反向阻断、过压切断、硬件过流检测及电流遥测。,TDK i7C2W020A120V-P03-R 模块；LM74800QDRRRQ1 + CSD18540Q5B MOSFET；INA226AIDGSR（0x41）；INA300AIDGSR,已定位工程参照（未实装验收）,4
Entry_5V_R8,电池入口、5 V 与监测板,1,65.0,45.0,1.6,2,测量电池电流，产生逻辑 5 V，并在电池与台架 5 V 之间切换；把温度、过流和运行握手接口集中连接到主控。,LMZM33603RLRR（5.10 V 目标）；TPS2117DRLR 电源选择器；INA226AIDGSR（0x40）；ADS1115IDGSR（0x48）；Littelfuse 0448002.MR，2 A,已定位工程参照（未实装验收）,8
Regen_R8,再生制动控制与电流测量板,1,32.0,30.0,1.6,2,在舵机减速回灌使母线升高时，模拟比较器驱动 MOSFET 接通外置回生电阻，并记录耗能支路电流。,TLV76050DBZR；REF3312AIDBZR；TLV3201AIDBVR；UCC27511DBVR；CSD18540Q5B；INA226AIDGSR（0x42）,尚未纳入当前557件装配，保留旧待安装画廊来源,9
Thermal_65C_R8,65 °C 回生热板温保板,1,16.0,12.0,1.0,2,作为回生散热板局部过热的硬件后备停机输入。,TMP302ADRLR；JST SH3,尚未纳入当前557件装配，保留旧待安装画廊来源,0
Thermal_75C_R8,75 °C TDK 温保板,1,16.0,12.0,1.0,2,作为 TDK 模块局部过热的硬件后备停机输入。,TMP302BDRLR；JST SH3,尚未纳入当前557件装配，保留旧待安装画廊来源,0
CM4_Carrier_R13,RK3576 CM4 主控载板,1,58.0,45.0,1.6,4,为外购 RK3576 CM4 提供机械/电源接口、核心支路限流、USB 静电保护、音视频/传感器连接及恢复测试点。计算处理在外购核心板内。,3 × Hirose DF40C-100DS-0.4V(51)；TPS259530DSGR 核心 eFuse；USBLC6-2SC6 USB 保护；4 路外设支路保险,已定位工程参照（未实装验收）,16
LEG5,五路腿部配电板,2,40.0,36.0,1.6,2,两块相同硬件分别给左右腿 5 台 XM430 分配电源，并并联分发半双工 TTL 数据。,每板 5 × Littelfuse 0448003.MR，3 A；每板 5 × S3B-EH(LF)(SN)；每板 1 × SM04B-SRSS-TB(LF)(SN),已定位工程参照（未实装验收）,2
HEAD3,三路颈头配电板,1,40.0,25.0,1.6,2,给两台颈/头 XM430 和三台串接的 XC330 分配三路独立熔断电源；三个接口实际带五台电机。,3 × Littelfuse 0448003.MR，3 A；3 × S3B-EH(LF)(SN)；SM04B-SRSS-TB(LF)(SN),已定位工程参照（未实装验收）,2
IMU_P0,六轴姿态传感器板,1,24.0,18.0,1.6,2,向主控提供惯性传感数据，用于后续姿态估计；本板本身不是已完成的平衡控制器。,ST LSM6DSV16XTR；4.7 kΩ I²C 上拉；JST SH4,尚未纳入当前557件装配，保留旧待安装画廊来源,0
AMP_R3,I²S 单声道功放板,1,28.0,20.0,1.6,2,将主控数字音频转换为单声道扬声器驱动，并提供麦克风支路连接。,MAX98357AETE+T；0467.500NR，0.5 A；JST SH8 / PH2 / SH5 / SH2,尚未纳入当前557件装配，保留旧待安装画廊来源,0
MIC_R3,数字麦克风与电平转换板,1,20.0,14.0,1.0,2,采集声音，产生麦克风所需 1.8 V，并在麦克风与主控间转换数字接口电平。,TDK MMICT5848-00-012（T5848）；TXU0204PWR；TLV75518PDBVR,尚未纳入当前557件装配，保留旧待安装画廊来源,0
