部件,关节归属,类型,材料,本轮新增或替换,制造信息,源清单,STEP,打印主文件,显示网格,网格SHA256,最近专用图册,备注
R23_Power_H1_PEEK_isolation,trunk_base,manufacturing_candidate,unfilled PEEK nominal450G-type,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/mechanics/manifest.json,work/r23-power-integration/mechanics/STEP_毫米/R23_Power_H1_PEEK_isolation.step,,work/r23-power-integration/mechanics/STL_装配坐标_毫米/R23_Power_H1_PEEK_isolation.stl,03c90af6b780f2ca2ff8a8f1c581b58a0fb555319030c5f4e9bbc42205f51baa,work/r23-power-integration/mechanics/R23_mechanics_dimensions.pdf,OD4.5 ID2.2 t0.5 between retained cap boss/new spacer and metal ear; front6.2..6.7. No metal rail contacts PCB package or bare FR4.
R23_Power_H1_front_washer,trunk_base,manufacturing_candidate,A2 stainless nominal purchase geometry,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/mechanics/manifest.json,work/r23-power-integration/mechanics/STEP_毫米/R23_Power_H1_front_washer.step,,work/r23-power-integration/mechanics/STL_装配坐标_毫米/R23_Power_H1_front_washer.stl,359a2f11aff488c529cd2a402d25d7a7510d13e21a43720dd0367d05f166b6ae,work/r23-power-integration/mechanics/R23_mechanics_dimensions.pdf,M2 washer OD4.3 ID2.2 t.3; front9.2..9.5. Incoming burr/flatness checks.
R23_Power_H1_M2_L11,trunk_base,manufacturing_candidate,A2-70 certified screw required; source blank A2 only,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/mechanics/manifest.json,work/r23-power-integration/mechanics/STEP_毫米/R23_Power_H1_M2_L11.step,,work/r23-power-integration/mechanics/STL_装配坐标_毫米/R23_Power_H1_M2_L11.stl,90b512cde5ab96804342e4c664e7d8e30d8963e207a572df5986d463fe7cbfde,work/r23-power-integration/mechanics/R23_mechanics_dimensions.pdf,"Accu SSCF-M2-12-A2 DIN912 (H1/H2) or SEBF-M2-12-A2 DIN933 (H3/H4) blank professionally shortened to L11.00±.05 underhead. Nominal tip−1.5, head underside9.5; H1/H2 AF1.5 socket depth1.0; H3/H4 AF4 hex head1.52 for side spanner access. Threaded major cylinder is engagement reference, not helix. Check actual usable thin-nut overlap and tip protrusion."
R23_Power_H2_PEEK_isolation,trunk_base,manufacturing_candidate,unfilled PEEK nominal450G-type,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/mechanics/manifest.json,work/r23-power-integration/mechanics/STEP_毫米/R23_Power_H2_PEEK_isolation.step,,work/r23-power-integration/mechanics/STL_装配坐标_毫米/R23_Power_H2_PEEK_isolation.stl,d61e3d922dc76267ec4b061c25a5ab66359e9d7fd0e8af5c2327adb3d1417900,work/r23-power-integration/mechanics/R23_mechanics_dimensions.pdf,OD4.5 ID2.2 t0.5 between retained cap boss/new spacer and metal ear; front6.2..6.7. No metal rail contacts PCB package or bare FR4.
R23_Power_H2_front_washer,trunk_base,manufacturing_candidate,A2 stainless nominal purchase geometry,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/mechanics/manifest.json,work/r23-power-integration/mechanics/STEP_毫米/R23_Power_H2_front_washer.step,,work/r23-power-integration/mechanics/STL_装配坐标_毫米/R23_Power_H2_front_washer.stl,b1c173afcf085f377c3bbe7ab387352da8faeb7d426346208d837df605e5953d,work/r23-power-integration/mechanics/R23_mechanics_dimensions.pdf,M2 washer OD4.3 ID2.2 t.3; front9.2..9.5. Incoming burr/flatness checks.
R23_Power_H2_M2_L11,trunk_base,manufacturing_candidate,A2-70 certified screw required; source blank A2 only,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/mechanics/manifest.json,work/r23-power-integration/mechanics/STEP_毫米/R23_Power_H2_M2_L11.step,,work/r23-power-integration/mechanics/STL_装配坐标_毫米/R23_Power_H2_M2_L11.stl,6eef7a1a3bc689cbf40d904b9dfc6b56e3a4425a7f5790298b32ff23a9fe5c18,work/r23-power-integration/mechanics/R23_mechanics_dimensions.pdf,"Accu SSCF-M2-12-A2 DIN912 (H1/H2) or SEBF-M2-12-A2 DIN933 (H3/H4) blank professionally shortened to L11.00±.05 underhead. Nominal tip−1.5, head underside9.5; H1/H2 AF1.5 socket depth1.0; H3/H4 AF4 hex head1.52 for side spanner access. Threaded major cylinder is engagement reference, not helix. Check actual usable thin-nut overlap and tip protrusion."
R23_Power_H3_PEEK_spacer,trunk_base,manufacturing_candidate,unfilled PEEK nominal450G-type,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/mechanics/manifest.json,work/r23-power-integration/mechanics/STEP_毫米/R23_Power_H3_PEEK_spacer.step,,work/r23-power-integration/mechanics/STL_装配坐标_毫米/R23_Power_H3_PEEK_spacer.stl,4970f946b9fe9cab8f2775ecc820d4dd2c053ce6f8a443f787f7e1c73282f1b0,work/r23-power-integration/mechanics/R23_mechanics_dimensions.pdf,OD5 ID2.2 L4.6 supports PCB front z1.6 to6.2. Match seated height to retained H1/H2 cradle bosses; do not flex board by bolt preload.
R23_Power_H3_PEEK_isolation,trunk_base,manufacturing_candidate,unfilled PEEK nominal450G-type,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/mechanics/manifest.json,work/r23-power-integration/mechanics/STEP_毫米/R23_Power_H3_PEEK_isolation.step,,work/r23-power-integration/mechanics/STL_装配坐标_毫米/R23_Power_H3_PEEK_isolation.stl,4643179dc7cc020dfd6f42ab288199f7c39f766bcf33ce9be8ffa49b0166a542,work/r23-power-integration/mechanics/R23_mechanics_dimensions.pdf,OD4.5 ID2.2 t0.5 between retained cap boss/new spacer and metal ear; front6.2..6.7. No metal rail contacts PCB package or bare FR4.
R23_Power_H3_front_washer,trunk_base,manufacturing_candidate,A2 stainless nominal purchase geometry,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/mechanics/manifest.json,work/r23-power-integration/mechanics/STEP_毫米/R23_Power_H3_front_washer.step,,work/r23-power-integration/mechanics/STL_装配坐标_毫米/R23_Power_H3_front_washer.stl,4ed64e35cda1677ce05dc0fdd0a5b3493c2c009bdef2e9f288b585aced36f8c8,work/r23-power-integration/mechanics/R23_mechanics_dimensions.pdf,M2 washer OD4.3 ID2.2 t.3; front9.2..9.5. Incoming burr/flatness checks.
R23_Power_H3_M2_L11,trunk_base,manufacturing_candidate,A2-70 certified screw required; source blank A2 only,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/mechanics/manifest.json,work/r23-power-integration/mechanics/STEP_毫米/R23_Power_H3_M2_L11.step,,work/r23-power-integration/mechanics/STL_装配坐标_毫米/R23_Power_H3_M2_L11.stl,59bfd3f37d566f239a9a735fe5ced7e49a1261c206898685da7abb0e8c2b1ada,work/r23-power-integration/mechanics/R23_mechanics_dimensions.pdf,"Accu SSCF-M2-12-A2 DIN912 (H1/H2) or SEBF-M2-12-A2 DIN933 (H3/H4) blank professionally shortened to L11.00±.05 underhead. Nominal tip−1.5, head underside9.5; H1/H2 AF1.5 socket depth1.0; H3/H4 AF4 hex head1.52 for side spanner access. Threaded major cylinder is engagement reference, not helix. Check actual usable thin-nut overlap and tip protrusion."
