conductor_id,old_ids,group,from_endpoint,to_endpoint,net,color,awg,MPN,installed_length_lower_mm,installed_length_upper_mm,raw_cut_nominal_mm,raw_cut_tolerance_mm,maximum_installed_wire_mass_g,R20_wire_max_ohm,R105_wire_max_ohm,process_notes
R23-001,R13-001,H09_HEAD_CONTROL,B1:J4.1,B5:J1.1,GND,black,28,55A0111-28-0,158.94187297221046,169.94187297221046,180,1,0.230140244752528,0.03824807246028096,0.051024841065637816,"BothJSTcontacts SSH-003T-P0.2-H; originalmouldedcavitynumbers. No tinbeforecrimp; actualapplicatorcrimp/stripsetupandpullcoupon required. Internal0..5.5mm is engineeringcutfixturebound, not supplierstripdimension."
R23-002,R13-002,H09_HEAD_CONTROL,B1:J4.2,B5:J1.2,+3V3,red,28,55A0111-28-2,164.74187297221042,175.74187297221042,186,1,0.23799477404668806,0.03955345303770877,0.05276628402495538,"BothJSTcontacts SSH-003T-P0.2-H; originalmouldedcavitynumbers. No tinbeforecrimp; actualapplicatorcrimp/stripsetupandpullcoupon required. Internal0..5.5mm is engineeringcutfixturebound, not supplierstripdimension."
R23-003,R13-003,H09_HEAD_CONTROL,B1:J4.3,B5:J1.3,I2C_SDA,green,28,55A0111-28-5,170.54187297221048,181.54187297221048,192,1,0.24584930334084826,0.040858833615136605,0.05450772698427299,"BothJSTcontacts SSH-003T-P0.2-H; originalmouldedcavitynumbers. No tinbeforecrimp; actualapplicatorcrimp/stripsetupandpullcoupon required. Internal0..5.5mm is engineeringcutfixturebound, not supplierstripdimension."
R23-004,R13-004,H09_HEAD_CONTROL,B1:J4.4,B5:J1.4,I2C_SCL,yellow,28,55A0111-28-4,176.34187297221044,187.34187297221044,198,1,0.2537038326350083,0.042164214192564414,0.056249169943590555,"BothJSTcontacts SSH-003T-P0.2-H; originalmouldedcavitynumbers. No tinbeforecrimp; actualapplicatorcrimp/stripsetupandpullcoupon required. Internal0..5.5mm is engineeringcutfixturebound, not supplierstripdimension."
R23-005,R13-005,H09_HEAD_CONTROL,B1:J4.5,B5:J1.5,RUN_REQ,white,28,55A0111-28-9,182.1418729722105,193.1418729722105,204,1,0.2615583619291685,0.04346959476999225,0.05799061290290816,"BothJSTcontacts SSH-003T-P0.2-H; originalmouldedcavitynumbers. No tinbeforecrimp; actualapplicatorcrimp/stripsetupandpullcoupon required. Internal0..5.5mm is engineeringcutfixturebound, not supplierstripdimension."
R23-006,R13-006,H09_HEAD_CONTROL,B1:J4.6,B5:J1.6,RUN_OK,violet,28,55A0111-28-7,187.94187297221046,198.94187297221046,209,1,0.26941289122332857,0.044774975347420067,0.059732055862225734,"BothJSTcontacts SSH-003T-P0.2-H; originalmouldedcavitynumbers. No tinbeforecrimp; actualapplicatorcrimp/stripsetupandpullcoupon required. Internal0..5.5mm is engineeringcutfixturebound, not supplierstripdimension."
R23-007,R13-007,H09_HEAD_CONTROL,B1:J4.7,B5:J1.7,TDK_IMON,blue,28,55A0111-28-6,193.74187297221042,204.74187297221042,215,1,0.2772674205174886,0.046080355924847875,0.06147349882154331,"BothJSTcontacts SSH-003T-P0.2-H; originalmouldedcavitynumbers. No tinbeforecrimp; actualapplicatorcrimp/stripsetupandpullcoupon required. Internal0..5.5mm is engineeringcutfixturebound, not supplierstripdimension."
R23-008,R13-008,H09_HEAD_CONTROL,B1:J4.8,B5:J1.8,BRAKE_ACTIVE_N,brown,28,55A0111-28-1,199.54187297221048,210.54187297221048,221,1,0.2851219498116488,0.04738573650227571,0.06321494178086091,"BothJSTcontacts SSH-003T-P0.2-H; originalmouldedcavitynumbers. No tinbeforecrimp; actualapplicatorcrimp/stripsetupandpullcoupon required. Internal0..5.5mm is engineeringcutfixturebound, not supplierstripdimension."
R23-009,R13-009,H09_HEAD_CONTROL,B1:J4.9,B5:J1.9,GND,black,28,55A0111-28-0,205.34187297221047,216.34187297221047,227,1,0.2929764791058089,0.04869111707970353,0.0649563847401785,"BothJSTcontacts SSH-003T-P0.2-H; originalmouldedcavitynumbers. No tinbeforecrimp; actualapplicatorcrimp/stripsetupandpullcoupon required. Internal0..5.5mm is engineeringcutfixturebound, not supplierstripdimension."
R23-010,R13-010,H09_HEAD_CONTROL,B1:J4.10,B5:J1.10,GND,black,28,55A0111-28-0,211.1418729722105,222.1418729722105,233,1,0.300831008399969,0.04999649765713136,0.06669782769949609,"BothJSTcontacts SSH-003T-P0.2-H; originalmouldedcavitynumbers. No tinbeforecrimp; actualapplicatorcrimp/stripsetupandpullcoupon required. Internal0..5.5mm is engineeringcutfixturebound, not supplierstripdimension."
