name,geometry_instance_count,material,kind,replaces,manufacturing_master_or_step,note
R25_neck_upper_PEEK_comb_housing,1,unfilled PEEK Victrex450G-series machining stock,manufacturing_candidate,R23_neck_upper_PEEK_comb_housing,work/r25-bottom-head-entry/mechanics/STEP_毫米/R25_neck_upper_PEEK_comb_housing.step,几何实例，非新增采购总数；绑带和结头同一物料，导线按独立端号总表
R25_neck_upper_VMQ_comb_installed,1,Wacker ELASTOSIL LR3004/40 A/B VMQ Shore A40 typical,installed_deformation_reference,R23_neck_upper_VMQ_comb_installed,work/r25-bottom-head-entry/mechanics/STEP_毫米/R25_neck_upper_VMQ_comb_installed.step,几何实例，非新增采购总数；绑带和结头同一物料，导线按独立端号总表
R25_neck_upper_PEEK_retainer,1,unfilled PEEK Victrex450G-series machining stock,manufacturing_candidate,R23_neck_upper_PEEK_retainer,work/r25-bottom-head-entry/mechanics/STEP_毫米/R25_neck_upper_PEEK_retainer.step,几何实例，非新增采购总数；绑带和结头同一物料，导线按独立端号总表
R25_neck_upper_retainer_1_washer,1,A2 stainless DIN125 M2.5 washer ID2.7 OD6 t0.5,manufacturing_candidate,R23_neck_upper_retainer_1_washer,work/r25-bottom-head-entry/mechanics/STEP_毫米/R25_neck_upper_retainer_1_washer.step,几何实例，非新增采购总数；绑带和结头同一物料，导线按独立端号总表
R25_neck_upper_retainer_1_M2x6,1,A2-70 socket screw nominal purchase envelope,purchase_reference,R23_neck_upper_retainer_1_M2x6,work/r25-bottom-head-entry/mechanics/STEP_毫米/R25_neck_upper_retainer_1_M2x6.step,几何实例，非新增采购总数；绑带和结头同一物料，导线按独立端号总表
R25_neck_upper_mount_1_front_washer,1,A2 stainless DIN125 M2.5 washer ID2.7 OD6 t0.5,manufacturing_candidate,R23_neck_upper_mount_1_front_washer,work/r25-bottom-head-entry/mechanics/STEP_毫米/R25_neck_upper_mount_1_front_washer.step,几何实例，非新增采购总数；绑带和结头同一物料，导线按独立端号总表
R25_neck_upper_mount_1_rear_washer,1,A2 stainless DIN125 M2.5 washer ID2.7 OD6 t0.5,manufacturing_candidate,R23_neck_upper_mount_1_rear_washer,work/r25-bottom-head-entry/mechanics/STEP_毫米/R25_neck_upper_mount_1_rear_washer.step,几何实例，非新增采购总数；绑带和结头同一物料，导线按独立端号总表
R25_neck_upper_mount_1_M2_nut,1,A2 stainless M2 hex nut AF4 t1.6,purchase_reference,R23_neck_upper_mount_1_M2_nut,work/r25-bottom-head-entry/mechanics/STEP_毫米/R25_neck_upper_mount_1_M2_nut.step,几何实例，非新增采购总数；绑带和结头同一物料，导线按独立端号总表
R25_neck_upper_mount_1_M2x18,1,A2-70 socket screw nominal purchase envelope,purchase_reference,R23_neck_upper_mount_1_M2x18,work/r25-bottom-head-entry/mechanics/STEP_毫米/R25_neck_upper_mount_1_M2x18.step,几何实例，非新增采购总数；绑带和结头同一物料，导线按独立端号总表
R25_neck_upper_retainer_2_washer,1,A2 stainless DIN125 M2.5 washer ID2.7 OD6 t0.5,manufacturing_candidate,R23_neck_upper_retainer_2_washer,work/r25-bottom-head-entry/mechanics/STEP_毫米/R25_neck_upper_retainer_2_washer.step,几何实例，非新增采购总数；绑带和结头同一物料，导线按独立端号总表
R25_neck_upper_retainer_2_M2x6,1,A2-70 socket screw nominal purchase envelope,purchase_reference,R23_neck_upper_retainer_2_M2x6,work/r25-bottom-head-entry/mechanics/STEP_毫米/R25_neck_upper_retainer_2_M2x6.step,几何实例，非新增采购总数；绑带和结头同一物料，导线按独立端号总表
R25_neck_upper_mount_2_front_washer,1,A2 stainless DIN125 M2.5 washer ID2.7 OD6 t0.5,manufacturing_candidate,R23_neck_upper_mount_2_front_washer,work/r25-bottom-head-entry/mechanics/STEP_毫米/R25_neck_upper_mount_2_front_washer.step,几何实例，非新增采购总数；绑带和结头同一物料，导线按独立端号总表
R25_neck_upper_mount_2_rear_washer,1,A2 stainless DIN125 M2.5 washer ID2.7 OD6 t0.5,manufacturing_candidate,R23_neck_upper_mount_2_rear_washer,work/r25-bottom-head-entry/mechanics/STEP_毫米/R25_neck_upper_mount_2_rear_washer.step,几何实例，非新增采购总数；绑带和结头同一物料，导线按独立端号总表
R25_neck_upper_mount_2_M2_nut,1,A2 stainless M2 hex nut AF4 t1.6,purchase_reference,R23_neck_upper_mount_2_M2_nut,work/r25-bottom-head-entry/mechanics/STEP_毫米/R25_neck_upper_mount_2_M2_nut.step,几何实例，非新增采购总数；绑带和结头同一物料，导线按独立端号总表
R25_neck_upper_mount_2_M2x18,1,A2-70 socket screw nominal purchase envelope,purchase_reference,R23_neck_upper_mount_2_M2x18,work/r25-bottom-head-entry/mechanics/STEP_毫米/R25_neck_upper_mount_2_M2x18.step,几何实例，非新增采购总数；绑带和结头同一物料，导线按独立端号总表
R25_neck_upper_P5_PEEK_film,1,unfilled PEEK0.25mm formed film,manufacturing_candidate,R23_neck_upper_P5_PEEK_film,work/r25-bottom-head-entry/mechanics/STEP_毫米/R25_neck_upper_P5_PEEK_film.step,几何实例，非新增采购总数；绑带和结头同一物料，导线按独立端号总表
R25_neck_upper_P5_VMQ_installed,1,VMQ50A nominal1.2g/cm3,manufacturing_candidate,R23_neck_upper_P5_VMQ_installed,work/r25-bottom-head-entry/mechanics/STEP_毫米/R25_neck_upper_P5_VMQ_installed.step,几何实例，非新增采购总数；绑带和结头同一物料，导线按独立端号总表
R25_neck_upper_P6_PEEK_film,1,unfilled PEEK0.25mm formed film,manufacturing_candidate,R23_neck_upper_P6_PEEK_film,work/r25-bottom-head-entry/mechanics/STEP_毫米/R25_neck_upper_P6_PEEK_film.step,几何实例，非新增采购总数；绑带和结头同一物料，导线按独立端号总表
R25_neck_upper_P6_VMQ_installed,1,VMQ50A nominal1.2g/cm3,manufacturing_candidate,R23_neck_upper_P6_VMQ_installed,work/r25-bottom-head-entry/mechanics/STEP_毫米/R25_neck_upper_P6_VMQ_installed.step,几何实例，非新增采购总数；绑带和结头同一物料，导线按独立端号总表
R25_neck_upper_power_pair_band_1,1,Daburn2049-A TypeIII PTFE max envelope,lacing_reference,R23_neck_upper_power_pair_band_1,work/r25-bottom-head-entry/mechanics/STEP_毫米/R25_neck_upper_power_pair_band_1.step,几何实例，非新增采购总数；绑带和结头同一物料，导线按独立端号总表
R25_neck_upper_power_pair_knot_1,1,Same lacing knot budget,knot_budget,R23_neck_upper_power_pair_knot_1,work/r25-bottom-head-entry/mechanics/STEP_毫米/R25_neck_upper_power_pair_knot_1.step,几何实例，非新增采购总数；绑带和结头同一物料，导线按独立端号总表
R25_neck_upper_power_pair_band_2,1,Daburn2049-A TypeIII PTFE max envelope,lacing_reference,R23_neck_upper_power_pair_band_2,work/r25-bottom-head-entry/mechanics/STEP_毫米/R25_neck_upper_power_pair_band_2.step,几何实例，非新增采购总数；绑带和结头同一物料，导线按独立端号总表
R25_neck_upper_power_pair_knot_2,1,Same lacing knot budget,knot_budget,R23_neck_upper_power_pair_knot_2,work/r25-bottom-head-entry/mechanics/STEP_毫米/R25_neck_upper_power_pair_knot_2.step,几何实例，非新增采购总数；绑带和结头同一物料，导线按独立端号总表
R25_neck_upper_6061_bottom_bridge,1,6061-T651 machined billet,manufacturing_candidate,R23_neck_upper_6061_with_power_pair,work/r25-bottom-head-entry/mechanics/STEP_毫米/R25_neck_upper_6061_bottom_bridge.step,几何实例，非新增采购总数；绑带和结头同一物料，导线按独立端号总表
R25_top_head_shell_closed_side,1,PA2200 PA12 SLS,printed_bottom_entry,R24_top_head_shell_front_cover_lugs,work/r25-bottom-head-entry/mechanics/R25_top_head_shell_closed_side.3mf,几何实例，非新增采购总数；绑带和结头同一物料，导线按独立端号总表
R25_lower_head_shell_bottom_entry,1,PA2200 PA12 SLS,printed_bottom_entry,R12_lower_head_shell,work/r25-bottom-head-entry/mechanics/R25_lower_head_shell_bottom_entry.3mf,几何实例，非新增采购总数；绑带和结头同一物料，导线按独立端号总表
